"","Stanislas Wawrinka","Tatsuma Ito","Austin Krajicek","Joao Sousa","Gilles Simon","Jiri Vesely","Jeremy Chardy","Gilles Muller","Benoit Paire","Marcos Baghdatis","Nick Kyrgios","Roberto Bautista Agut","Marin Cilic","Steve Johnson","Sam Querrey","Kei Nishikori","Alexander Zverev","Nicolas Almagro","Grigor Dimitrov","John Millman","Jack Sock","Fernando Verdasco","Leonardo Mayer","Federico Delbonis","Steve Darcis","Tomas Berdych","Richard Gasquet","Bastian Trinker","Paolo Lorenzi","Philipp Kohlschreiber","Dusan Lajovic","Andreas Haider Maurer","Martin Klizan","Fabio Fognini","Damir Dzumhur","Borna Coric","Aljaz Bedene","Blaz Kavcic","Gael Monfils","Dominic Thiem","David Goffin","Ivo Karlovic","Bernard Tomic","Jared Donaldson","Jerzy Janowicz","Tommy Robredo","Thomaz Bellucci","Thanasi Kokkinakis","Vasek Pospisil","Mardy Fish","Andreas Seppi","Feliciano Lopez","Kevin Anderson","Novak Djokovic","Alexandr Dolgopolov","Andy Murray","Rafael Nadal","Roger Federer","John Isner","Milos Raonic","Viktor Troicki","Jo Wilfried Tsonga","Victor Estrella","Albert Ramos","Edouard Roger Vasselin","Lukas Rosol","David Ferrer","Teymuraz Gabashvili","Roberto Carballes Baena","Juan Monaco","Mikhail Kukushkin","Marcel Granollers","Andrey Kuznetsov","Elias Ymer","Albert Montanes","Marsel Ilhan","Pablo Andujar","Andrey Rublev","Santiago Giraldo","Pablo Cuevas","Jarkko Nieminen","Daniel Gimeno Traver","Jurgen Melzer","Diego Sebastian Schwartzman","Denis Istomin","Ivan Dodig","Andrey Golubev","Pierre Hugues Herbert","Ricardas Berankis","Matthew Ebden","Denis Kudla","Liam Broady","Kenny De Schepper","Tommy Haas","James Ward","Dustin Brown","Robin Haase","Nicolas Mahut","Adrian Mannarino","Nikoloz Basilashvili","Samuel Groth","James Duckworth","Alejandro Gonzalez","Nicolas Jarry","Gerald Melzer","Alejandro Falla","Renzo Olivo","Horacio Zeballos","Ernests Gulbis","Donald Young","Sergiy Stakhovsky","Mikhail Youzhny","Radek Stepanek","Radu Albot","Benjamin Becker","Mischa Zverev","Gianni Mina","Lucas Pouille","Pablo Carreno Busta","Guillermo Garcia Lopez","Simone Bolelli","Yen Hsun Lu","Peter Gojowczyk","Tim Smyczek","Ryan Harrison","Malek Jaziri","Michael Berrer","Igor Sijsling","Victor Hanescu","Carlos Berlocq","Hyeon Chung","Filip Krajinovic","Jan Lennard Struff","Lukasz Kubot","Juan Martin Del Potro","Julien Benneteau","Daniel Elahi Galan Riveros","Rajeev Ram","Alexander Sarkissian","Marcelo Demoliner","Yuichi Sugita","Alejandro Gomez GB42","Adrian Menendez Maceiras","Marco Chiudinelli","Marius Copil","Illya Marchenko","Florian Mayer","Evgeny Donskoy","Ruben Bemelmans","Yoshihito Nishioka","Lleyton Hewitt","Zhizhen Zhang","Hiroki Moriya","Yan Bai","Janko Tipsarevic","Nikola Mektic","Blaz Rola","Joao Souza","Thiemo De Bakker","John Patrick Smith","Jan Hernych","Lukas Lacko","Stephane Robert","Julian Reister","Taylor Harry Fritz","Dudi Sela","Dennis Novak","Paul Henri Mathieu","Go Soeda","Matthias Bachinger","Marinko Matosevic","Christian Lindell","Facundo Arguello","Facundo Bagnis","Guido Andreozzi","Daniel Brands","Taro Daniel","Francis Tiafoe","Guido Pella","Jaume Munar","Luca Vanni","Matteo Donati","Tobias Kamke","Lamine Ouahab","Arthur De Greef","Aslan Karatsev","Michael Venus","Rui Machado","Ze Zhang","Kyle Edmund","Andrea Arnaboldi","Daniel Munoz De La Nava","Inigo Cervantes Huegun","Marco Cecchinato","Guilherme Clezar","Aleksandr Nedovyesov","Henri Laaksonen","Kimmer Coppejans","Darian King","Jose Hernandez","Gonzalo Escobar","Emilio Gomez","Warit Sornbutnark","Di Wu","Jose Rubin Statham","Seong Chan Hong","Yuki Bhambri","Somdev Devvarman","Frederik Nielsen","Norbert Gombos","Adrian Ungur","Laurynas Grigelis","Michal Przysiezny","Amir Weintraub","Nik Razborsek","David Souto","Ricardo Rodriguez","Alex Llompart","Daniel Garza","Hugo Dellien","Jui Chen Hung","Patrick Tierro","Ruben Gonzales","David Agung Susanto","Aditya Hari Sasongko","Aqeel Khan","Samir Iftikhar","M Abid Ali Khan Akbar","Jimmy Wang","Fritz Wolmarans","Cem Ilkel","Dzmitry Zhyrmont","Egor Gerasimov","Benjamin Balleret","Romain Arneodo","Mirza Basic","Tomislav Brkic","Benjamin Lock","Marton Fucsovics","Gabor Borsos","Antso Rakotondramanga","Martins Podzus","Dimitar Kuzmanov","Alexander Lazov","Frederico Ferreira Silva","Peter Nagy","Dimitar Kutrovsky","Gastao Elias","Tucker Vorster","Ruan Roelofse","Yassine Idmbarek","Takanyi Garanganga","Sharmal Dissanayake","Harshana Godamanna","Hady Habib","Shahin Khaledan","Abdullah Maqdas","Federico Zeballos","Duilio Beretta","Santiago Maresca","Zhe Li"
"Stanislas Wawrinka",0,1,1,2,1,0,0,3,2,0,0,0,1,1,0,1,0,0,-2,0,0,1,0,-1,0,1,-1,0,0,-1,1,0,0,0,0,2,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,-2,0,1,0,-2,0,1,2,1,1,1,0,1,1,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,1,-1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tatsuma Ito",-1,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Austin Krajicek",-1,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Joao Sousa",-2,0,-1,0,-2,0,0,1,1,0,0,2,-1,-1,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,-1,0,2,0,1,0,0,0,0,-3,0,0,-1,-2,0,0,0,-1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,-1,1,1,-1,1,0,2,-1,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Gilles Simon",-1,0,0,2,0,1,2,0,2,0,0,0,0,0,-1,0,0,1,0,0,0,0,2,0,0,-1,0,0,0,-1,0,0,2,0,0,1,-1,1,2,-1,1,-1,0,0,-1,0,0,1,0,0,1,0,-1,-1,0,0,-1,-1,0,1,0,-1,0,0,2,0,-3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,-1,0,0,0,1,0,0,0,-1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jiri Vesely",0,0,0,0,-1,0,0,0,0,-1,0,0,-1,0,0,-1,0,-1,0,0,0,0,-2,-1,0,-1,-1,0,2,-1,0,0,1,-2,0,0,1,0,0,0,0,2,-1,0,0,0,-1,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,-1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jeremy Chardy",0,0,0,0,-2,0,0,-2,0,0,0,0,-1,0,1,-1,1,0,-1,0,0,0,1,1,0,-2,-1,0,0,0,1,0,1,-1,0,0,-1,0,0,0,1,0,0,0,0,0,-1,0,0,0,-1,0,-1,-1,0,-2,-1,-1,2,-1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,-1,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gilles Muller",-3,0,0,-1,0,0,2,0,-1,-2,0,1,0,0,0,0,0,0,2,1,-1,1,-1,0,-1,0,-2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,-2,0,-3,0,0,1,0,-1,-1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benoit Paire",-2,0,0,-1,-2,0,0,1,0,1,1,-1,0,0,0,2,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,-2,3,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marcos Baghdatis",0,0,1,0,0,1,0,2,-1,0,0,0,0,0,1,0,1,1,-1,1,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,1,2,1,0,0,-1,-1,0,0,0,0,0,0,-1,0,0,-1,0,-1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
