Local,Visitante,Marcador
Guadalajara,Dorados,2 : 1
Toluca,Cruz Azul,0 : 2
Chiapas,Atlas,0 : 3
Morelia,Santos Laguna,3 : 2
León,Pachuca,0 : 0
U.A.N.L.,Veracruz,0 : 0
América,Monterrey,3 : 3
Tijuana,Puebla,0 : 0
Queretaro,U.N.A.M.,2 : 1
Puebla,Chiapas,2 : 1
Dorados,Morelia,1 : 0
Atlas,León,1 : 1
Pachuca ,Guadalajara ,1 : 1
Monterrey ,Queretaro,3 : 2
Santos Laguna,U.A.N.L.,2 : 1
América,Toluca,0 : 1
Veracruz,Cruz Azul,2 : 1
U.N.A.M.,Tijuana,3 : 1
Guadalajara,Atlas,1 : 0
Chiapas ,U.N.A.M.,1 : 2
Morelia,Pachuca,1 : 0
León,Puebla,4 : 1
U.A.N.L.,Dorados ,5 : 2
Cruz Azul ,Santos Laguna,0 : 1
Toluca,Veracruz,4 : 2
Tijuana,Monterrey,1 : 2
Queretaro,América,1 : 0
U.N.A.M.,León,1 : 2
Puebla ,Guadalajara,0 : 3
Dorados,Cruz Azul,3 : 0
Atlas,Morelia,1 : 2
Pachuca,U.A.N.L.,2 : 1
Monterrey,Chiapas,6 : 0
América,Tijuana,6 : 1
Santos Laguna,Veracruz,2 : 0
Queretaro,Toluca,0 : 0
Guadalajara,U.N.A.M.,4 : 0
Chiapas,América,0 : 2
Morelia,Puebla ,2 : 0
León,Monterrey ,1 : 2
U.A.N.L.,Atlas,2 : 2
Cruz Azul ,Pachuca,0 : 0
Tijuana ,Queretaro,2 : 4
Veracruz,Dorados,0 : 0
Toluca,Santos Laguna,0 : 0
Morelia,Chiapas ,2 : 0
U.N.A.M.,Morelia,4 : 2
Puebla ,U.A.N.L.,0 : 0
Dorados,Santos Laguna,3 : 1
Atlas,Cruz Azul,0 : 2
Pachuca,Veracruz ,6 : 0
Monterrey,Guadalajara,1 : 3
América,León,2 : 1
Tijuana,Toluca,0 : 0
Queretaro,Chiapas,1 : 1
Guadalajara ,América ,1 : 2
Toluca,Dorados ,3 : 0
Chiapas,Tijuana,1 : 2
Morelia,Monterrey,1 : 3
León,Queretaro,2 : 0
U.A.N.L.,U.N.A.M.,0 : 0
Cruz Azul,Puebla ,1 : 1
Santos Laguna,Pachuca,3 : 2
Veracruz,Atlas,3 : 2
Puebla,Veracruz ,1 : 1
U.N.A.M.,Cruz Azul ,2 : 2
Chiapas ,Toluca,3 : 2
Atlas ,Santos Laguna,1 : 2
Pachuca,Dorados,2 : 2
Monterrey ,U.A.N.L. ,1 : 0
Queretaro,Guadalajara,0 : 2
América,Morelia ,4 : 1
Tijuana,León,0 : 0
Guadalajara,Tijuana ,1 : 1
Dorados,Atlas,2 : 1
Toluca,Pachuca,0 : 1
Morelia,Queretaro,1 : 1
León,Chiapas,1 : 3
Santos Laguna,Puebla ,1 : 1
U.A.N.L.,América ,4 : 1
Cruz Azul ,Monterrey,4 : 0
Veracruz,U.N.A.M.,0 : 0
Puebla,Dorados,3 : 2
U.N.A.M.,Santos Laguna,1 : 1
Chiapas,Guadalajara,1 : 1
Atlas,Pachuca,1 : 0
León,Toluca ,5 : 1
Monterrey,Veracruz,5 : 1
América ,Cruz Azul ,3 : 3
Tijuana,Morelia,1 : 1
Queretaro ,U.A.N.L.,2 : 2
Pachuca,Puebla,5 : 2
Guadalajara ,León,0 : 1
Dorados,U.N.A.M.,2 : 3
U.A.N.L. ,Tijuana,1 : 2
Cruz Azul,Queretaro,2 : 1
Santos Laguna,Monterrey,1 : 2
Toluca,Atlas,1 : 1
Veracruz ,América,1 : 1
U.N.A.M.,Pachuca,1 : 1
Guadalajara,Toluca ,1 : 1
León,Morelia,1 : 2
Monterrey,Dorados,3 : 0
Puebla,Atlas,4 : 1
América,Santos Laguna,2 : 0
Tijuana,Cruz Azul ,1 : 1
Chiapas ,U.A.N.L.,1 : 3
Queretaro,Veracruz,2 : 1
Toluca,Puebla,1 : 1
Dorados,América,0 : 3
Atlas ,U.N.A.M.,1 : 1
Pachuca ,Monterrey ,3 : 1
U.A.N.L.,León,3 : 1
Morelia,Guadalajara ,2 : 0
Cruz Azul ,Chiapas,2 : 1
Santos Laguna,Queretaro,2 : 0
Veracruz,Tijuana ,2 : 2
Guadalajara,U.A.N.L.,2 : 2
U.N.A.M.,Puebla ,0 : 1
Chiapas,Veracruz,1 : 1
Morelia,Toluca,1 : 1
León,Cruz Azul,3 : 2
Monterrey,Atlas,1 : 0
América,Pachuca,1 : 4
Tijuana,Santos Laguna,1 : 3
Queretaro,Dorados,3 : 0
Puebla,Monterrey,1 : 3
U.N.A.M.,Toluca,3 : 2
Dorados,Tijuana,0 : 1
Atlas,América ,0 : 3
Pachuca,Queretaro,1 : 0
U.A.N.L.,Morelia,2 : 0
Cruz Azul,Guadalajara,1 : 1
Santos Laguna,Chiapas,1 : 0
Veracruz ,León,1 : 3
Guadalajara,Veracruz ,2 : 2
Toluca,U.A.N.L.,1 : 0
Chiapas,Dorados,1 : 0
Morelia,Cruz Azul,2 : 2
León,Santos Laguna ,2 : 0
Monterrey,U.N.A.M.,1 : 0
América,Puebla,0 : 0
Tijuana,Pachuca ,1 : 1
Queretaro,Atlas,1 : 3
